time,open,high,low,close,adjClose,volume,ma_90,mom_10,mom_30,prediction,fees,pnl,capital,benchmark,score,position,fees,pnl,capital,total_profit,total_loss,count_profit,count_loss
2020-05-04 09:00:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 09:30:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 10:00:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 10:30:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 11:00:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 11:30:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 12:00:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 12:30:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 13:00:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.570007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 13:30:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.5700069999999,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04 14:00:00,280.73999,283.899994,279.130005,283.570007,283.570007,80873200.0,283.5700069999999,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
